Topic,Count,Name,Representation,Representative_Docs
-1,2567,-1_presiden_aja_jadi_gak,"['presiden', 'aja', 'jadi', 'gak', 'ada', 'ga', 'prabowo', 'masih', 'ya', 'di']","['tapi presiden masih tutup mata untuk menetapkan status bencana nasional gimana ya sebagai rakyat agar bisa status bencana nasional tersebut di tetapkan', 'untuk ketiga kalinya presiden prabowo turun langsung ke daerah banjir dan longsor memastikan prabowo bangun kembali melalui rekonstruksi pascabencana rumah rakyat diganti listrik jalan dan infrastruktur dipulihkan cepat meski kondisi berat kita kuat karena gotong royong', 'dari pada negara gak ada presiden']"
0,570,0_kerja_aku_ga_gue,"['kerja', 'aku', 'ga', 'gue', 'mama', 'mau', 'gua', 'gak', 'aja', 'ya']","['kalau kaya aku gak akan kerja sekarang bang buktinya aku masih kerja', 'jujur di situ sedih bgt karna mama berjuang se begitu besarnya tiap malem pusing mikirin biaya kuliah skrg aku udh kerja jd mskpn cape aku selalu inget perjuangan mama sm bpk aku biar aku bisa kuliah jd aku mau bantu lunasin hutang mama yg dipake buat aku kuliah', 'kerja']"
1,512,1_rekonstruksi_pascabencana_bangun_kembali,"['rekonstruksi', 'pascabencana', 'bangun', 'kembali', 'rumah', 'ketiga', 'prabowo', 'listrik', 'jalan', 'royong']","['presiden prabowo kembali ke daerah terdampak banjir longsor kali ketiga prabowo bangun kembali rekonstruksi pascabencana segera pulihkan rumah listrik jalan ajak gotong royong', 'untuk ketiga kalinya presiden prabowo hadir di lokasi banjir dan longsor menegaskan prabowo bangun kembali melalui rekonstruksi pascabencana rumah warga akan diganti listrik jalan dan infrastruktur dipulihkan cepat meski kondisi lapangan sangat berat gotong royong jadi kunci', 'presiden prabowo kembali untuk ketiga kalinya ke lokasi banjir dan longsor membawa komitmen prabowo bangun kembali rumah warga diganti negara listrik jalan dan infrastruktur dipulihkan lewat rekonstruksi pascabencana gotong royong jadi kekuatan bersama']"
2,236,2_toti_maksudnya_sebelah_negaranya,"['toti', 'maksudnya', 'sebelah', 'negaranya', 'marah', 'kayaknya', 'malaysia', 'dewan', 'mata', 'dianggap']","['anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya']"
3,172,3_suruh_siapa_jadi_presiden,"['suruh', 'siapa', 'jadi', 'presiden', 'tua', 'omon', 'lah', 'lu', 'ya', 'dukung']","['lah siapa suruh jadi presiden', 'lah siapa suruh jadi presiden', 'suruh siapa jadi presiden']"
4,143,4_rakyatnya_bukan_ada_jadi,"['rakyatnya', 'bukan', 'ada', 'jadi', 'dia', 'presiden', 'orang', 'mana', 'ga', 'apa']","['iya makanya lu dapet presiden kek sekarang karena lu ga cukup cerdas buat protes orang demo mah bukan mikirin buat dirinya aja tapi buat generasi berikutnya soalnya ada orang yg kek elu gini yg mengerdilkan orang demo tapi juga ikut ngerasain manfaat kalo demonya berhasil', 'orang kalau udah buta emang susah orang jawa menganggap mereka paling top paling ok paling iya hasil nya presiden jawa hasil nya hari ini negara gk tau arah nya boro mau maju dia jalan kemana aja kagak tau ya anggaran habis terus yang sda terkuras terus negara tetap miskin', 'bener ni orangdaribcaranya ngomong aja keliatanga tau apa progress kerjaan anak buahnya bener cuma omon doang pak bapak tuh jd presiden bukan cuma buat pidato doang pak kesel asli']"
5,131,5_pengungsi_langkat_pengungsian_posko,"['pengungsi', 'langkat', 'pengungsian', 'posko', 'meninjau', 'man', 'subianto', 'tinjau', 'semuatanganibencana', 'kebutuhan']","['hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'presiden prabowo tinjau korban terdampak banjir di posko pengungsian man langkat']"
6,118,6_indonesia_rakyat_tapi_merdeka,"['indonesia', 'rakyat', 'tapi', 'merdeka', 'indonesiaemas', 'jadi', 'presiden', 'mereka', 'sekolahrakyat', 'terbawah']","['sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas']"
7,94,7_penanganan_bencana_percepatan_terdampak,"['penanganan', 'bencana', 'percepatan', 'terdampak', 'kesiapan', 'hambalang', 'sumatera', 'pastikan', 'terkendali', 'cepat']","['presiden prabowo minta percepatan penanganan bencana sumatera', 'presiden prabowo minta percepatan penanganan bencana sumatera', 'presiden prabowo pimpin ratas bahas percepatan penanganan bencana dan kesiapan libur nataru presiden prabowo memanggil sejumlah menteri kabinet merah putih ke kediaman pribadinya di hambalang bogor jawa barat minggu untuk membahas penanganan bencana di sumatra']"
8,85,8_hunian_huniankorbanbencana_memulihkan_terdampak,"['hunian', 'huniankorbanbencana', 'memulihkan', 'terdampak', 'warga', 'korban', 'percepatan', 'pembangunan', 'bencana', 'membahas']","['presiden prabowo kumpulkan menteri untuk membahas percepatan hunian korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden dan menteri rapat kabinet untuk fokus membahas percepatan penyediaan hunian bagi korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden prabowo perintahkan percepatan hunian korban bencana huniankorbanbencana memulihkan warga terdampak']"
